rank,stride,start,length,end,avg_score
0,0x10,0x8ee20,5,0x8ee70,9.0
1,0x10,0x8ef20,5,0x8ef70,9.0
2,0x10,0x389f90,5,0x389fe0,9.0
3,0x10,0x559930,18,0x559a50,9.0
4,0x10,0x55be90,22,0x55bff0,9.0
5,0x10,0x5625a0,36,0x5627e0,9.0
6,0x10,0x563350,14,0x563430,9.0
7,0x10,0x56a060,29,0x56a230,9.0
8,0x10,0x56e790,6,0x56e7f0,9.0
9,0x10,0x579e50,41,0x57a0e0,9.0
10,0x10,0x5800a0,19,0x5801d0,9.0
11,0x14,0x9a114,9,0x9a1c8,9.0
12,0x14,0x55d9bc,12,0x55daac,9.0
13,0x14,0x562598,29,0x5627dc,9.0
14,0x14,0x564514,22,0x5646cc,9.0
15,0x14,0x5694d8,12,0x5695c8,9.0
16,0x14,0x56b15c,14,0x56b274,9.0
17,0x18,0x55d9b8,10,0x55daa8,9.0
18,0x18,0x5625a8,24,0x5627e8,9.0
19,0x18,0x56b158,12,0x56b278,9.0
20,0x18,0x5910a8,15,0x591210,9.0
21,0x1c,0x39b334,11,0x39b468,9.0
22,0x1c,0x5694d8,9,0x5695d4,9.0
23,0x1c,0x56b164,10,0x56b27c,9.0
24,0x1c,0x571f18,7,0x571fdc,9.0
25,0x1c,0x596514,5,0x5965a0,9.0
26,0x20,0x315b80,32,0x315f80,9.0
27,0x20,0x316080,32,0x316480,9.0
28,0x20,0x323280,18,0x3234c0,9.0
29,0x20,0x39b340,9,0x39b460,9.0
