index,offset,buy,sell,b4,b5_element?,stat_u16,b8,b9,b10,flags_b11,sell_ok,raw
0,0x7FA424,10,5,0,0,6,1,0,0,0xA1,True,0a00050000000600010000a1
1,0x7FA430,20,10,0,0,11,1,0,0,0xA1,True,14000a0000000b00010000a1
2,0x7FA43C,36,18,0,0,16,1,0,0,0x21,True,240012000000100001000021
3,0x7FA448,60,30,0,0,21,1,0,0,0x21,True,3c001e000000150001000021
4,0x7FA454,100,50,0,0,27,1,0,0,0x01,True,6400320000001b0001000001
5,0x7FA460,400,200,0,16,44,1,0,0,0x01,True,9001c80000102c0001000001
6,0x7FA46C,180,90,0,0,33,1,0,0,0x21,True,b4005a000000210001000021
7,0x7FA478,280,140,0,0,38,1,0,0,0x21,True,18018c000000260001000021
8,0x7FA484,600,300,0,14,49,1,0,0,0x01,True,58022c01000e310001000001
9,0x7FA490,640,320,0,0,50,1,0,0,0x20,True,800240010000320001000020
10,0x7FA49C,900,450,0,0,55,1,0,0,0x21,True,8403c2010000370001000021
11,0x7FA4A8,1400,700,0,15,60,1,0,0,0x20,True,7805bc02000f3c0001000020
12,0x7FA4B4,1500,750,0,0,61,1,0,0,0x01,True,dc05ee0200003d0001000001
13,0x7FA4C0,2000,1000,0,0,65,1,0,0,0x20,True,d007e8030000410001000020
14,0x7FA4CC,2100,1050,0,5,68,1,0,0,0x01,True,34081a040005440001000001
15,0x7FA4D8,2500,1250,0,6,70,1,0,0,0x20,True,c409e2040006460001000020
16,0x7FA4E4,0,0,0,0,75,1,0,33,0x01,True,0000000000004b0001002101
17,0x7FA4F0,2100,1050,0,17,60,1,0,36,0x21,True,34081a0400113c0001002421
18,0x7FA4FC,1200,600,0,0,55,1,0,0,0x21,True,b00458020000370001000021
19,0x7FA508,2100,1050,0,0,60,1,0,0,0x20,True,34081a0400003c0001000020
20,0x7FA514,4000,2000,208,0,50,1,0,51,0x01,True,a00fd007d000320001003301
21,0x7FA520,15000,7500,0,0,85,1,0,34,0x20,True,983a4c1d0000550001002220
22,0x7FA52C,160,80,0,0,34,1,0,0,0x10,True,a00050000000220001000010
23,0x7FA538,260,130,0,0,39,1,0,0,0x10,True,040182000000270001000010
24,0x7FA544,440,220,0,16,44,1,0,0,0x10,True,b801dc0000102c0001000010
25,0x7FA550,760,380,0,0,50,1,0,0,0x10,True,f8027c010000320001000010
26,0x7FA55C,1240,620,0,1,56,1,0,0,0x10,True,d8046c020001380001000010
27,0x7FA568,2200,1100,0,0,68,1,0,33,0x10,True,98084c040000440001002110
28,0x7FA574,1680,840,0,2,62,1,0,0,0x10,True,9006480300023e0001000010
29,0x7FA580,1000,500,0,3,50,1,0,0,0x10,True,e803f4010003320001000010
30,0x7FA58C,1000,500,0,0,52,1,0,0,0x10,True,e803f4010000340001000010
31,0x7FA598,2500,1250,0,5,70,1,0,0,0x10,True,c409e2040005460001000010
32,0x7FA5A4,800,400,0,6,326,97,0,4,0x40,True,200390010006460161000440
33,0x7FA5B0,20,10,0,0,8,1,0,0,0x10,True,14000a000000080001000010
34,0x7FA5BC,30,15,0,0,10,1,0,0,0x20,True,1e000f0000000a0001000020
35,0x7FA5C8,50,25,0,0,10,1,0,0,0x10,True,3200190000000a0001000010
36,0x7FA5D4,600,300,0,0,25,1,0,0,0x20,True,58022c010000190001000020
37,0x7FA5E0,1200,600,0,0,28,1,0,0,0x10,True,b004580200001c0001000010
38,0x7FA5EC,1400,700,0,0,30,1,0,0,0x20,True,7805bc0200001e0001000020
39,0x7FA5F8,2400,1200,0,1,33,1,0,0,0x20,True,6009b0040001210001000020
40,0x7FA604,3000,1500,0,4,2602,65,0,8,0x10,True,b80bdc0500042a0a41000810
41,0x7FA610,400,200,0,16,30,1,0,0,0x20,True,9001c80000101e0001000020
42,0x7FA61C,440,220,0,0,286,97,0,0,0x10,True,b801dc0000001e0161000010
43,0x7FA628,100,50,0,0,2576,113,0,17,0x0C,True,640032000000100a7100110c
44,0x7FA634,120,60,0,0,20,1,0,0,0x0C,True,78003c00000014000100000c
45,0x7FA640,280,140,0,0,28,1,0,0,0x0C,True,18018c0000001c000100000c
46,0x7FA64C,160,80,0,0,34,1,0,0,0x0C,True,a0005000000022000100000c
47,0x7FA658,360,180,0,0,43,1,0,0,0x0C,True,6801b40000002b000100000c
48,0x7FA664,580,290,0,0,38,1,0,0,0x0C,True,44022201000026000100000c
49,0x7FA670,860,430,0,0,2570,65,0,8,0x0C,True,5c03ae0100000a0a4100080c
50,0x7FA67C,1640,820,0,15,5140,49,0,15,0x0C,True,68063403000f141431000f0c
51,0x7FA688,2600,1300,0,15,15420,65,0,10,0x0C,True,280a1405000f3c3c41000a0c
52,0x7FA694,3000,1500,240,8,20481,65,0,12,0x08,True,b80bdc05f008015041000c08
53,0x7FA6A0,3000,1500,240,9,17921,65,0,11,0x04,True,b80bdc05f009014641000b04
54,0x7FA6AC,360,180,0,0,34,1,0,0,0x20,True,6801b4000000220001000020
55,0x7FA6B8,360,180,0,0,2590,49,0,13,0x10,True,6801b40000001e0a31000d10
56,0x7FA6C4,360,180,0,0,2590,33,0,0,0x20,True,6801b40000001e0a21000020
57,0x7FA6D0,400,200,0,0,2600,81,0,0,0x20,True,9001c8000000280a51000020
58,0x7FA6DC,2800,1400,0,0,3895,65,0,0,0x10,True,f00a78050000370f41000010
59,0x7FA6E8,2800,1400,0,0,3895,81,0,0,0x20,True,f00a78050000370f51000020
60,0x7FA6F4,4200,2100,0,7,60,1,0,0,0x10,True,6810340800073c0001000010
61,0x7FA700,1800,900,0,4,60,1,0,0,0x20,True,0807840300043c0001000020
62,0x7FA70C,6,3,0,0,3,1,0,0,0x02,True,060003000000030001000002
63,0x7FA718,16,8,0,0,5,1,0,0,0x0C,True,10000800000005000100000c
64,0x7FA724,28,14,0,0,15,1,0,0,0x02,True,1c000e0000000f0001000002
65,0x7FA730,198,99,0,0,30,1,0,0,0x02,True,c600630000001e0001000002
