index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
0,0x7fa424,10,12,5,6,6,8,0,0,1,0,161
1,0x7fa430,20,18,10,9,11,10,0,0,1,0,161
2,0x7fa43c,36,43,18,21,16,14,0,0,1,0,33
3,0x7fa448,60,58,30,29,21,26,0,0,1,0,33
4,0x7fa454,100,139,50,69,27,22,0,0,1,0,1
5,0x7fa460,400,372,200,186,44,36,0,16,1,0,1
6,0x7fa46c,180,245,90,122,33,36,0,0,1,0,33
7,0x7fa478,280,230,140,115,38,45,0,0,1,0,33
8,0x7fa484,600,413,300,206,49,51,0,14,1,0,1
9,0x7fa490,640,953,320,476,50,54,0,0,1,0,32
10,0x7fa49c,900,869,450,434,55,50,0,0,1,0,33
11,0x7fa4a8,1400,1612,700,806,60,49,0,15,1,0,32
12,0x7fa4b4,1500,1583,750,791,61,63,0,0,1,0,1
13,0x7fa4c0,2000,3161,1000,1580,65,82,0,0,1,0,32
14,0x7fa4cc,2100,1454,1050,727,68,83,0,5,1,0,1
15,0x7fa4d8,2500,1990,1250,995,70,94,0,6,1,0,32
16,0x7fa4e4,0,0,0,0,75,61,0,0,1,33,1
17,0x7fa4f0,2100,2879,1050,1439,60,58,0,17,1,36,33
18,0x7fa4fc,1200,1712,600,856,55,50,0,0,1,0,33
19,0x7fa508,2100,2693,1050,1346,60,54,0,0,1,0,32
20,0x7fa514,4000,3930,2000,1965,50,43,208,0,1,51,1
21,0x7fa520,15000,25721,7500,12860,85,80,0,0,1,34,32
22,0x7fa52c,160,145,80,72,34,41,0,0,1,0,16
23,0x7fa538,260,283,130,141,39,50,0,0,1,0,16
24,0x7fa544,440,683,220,341,44,43,0,16,1,0,16
25,0x7fa550,760,1228,380,614,50,49,0,0,1,0,16
26,0x7fa55c,1240,1683,620,841,56,75,0,1,1,0,16
27,0x7fa568,2200,2016,1100,1008,68,91,0,0,1,33,16
28,0x7fa574,1680,1170,840,585,62,74,0,2,1,0,16
29,0x7fa580,1000,1279,500,639,50,62,0,3,1,0,16
30,0x7fa58c,1000,954,500,477,52,51,0,0,1,0,16
31,0x7fa598,2500,4372,1250,2186,70,65,0,5,1,0,16
32,0x7fa5a4,800,900,400,450,326,326,0,6,97,4,64
33,0x7fa5b0,20,26,10,13,8,8,0,0,1,0,16
34,0x7fa5bc,30,26,15,13,10,13,0,0,1,0,32
35,0x7fa5c8,50,80,25,40,10,11,0,0,1,0,16
36,0x7fa5d4,600,871,300,435,25,28,0,0,1,0,32
37,0x7fa5e0,1200,1855,600,927,28,25,0,0,1,0,16
38,0x7fa5ec,1400,947,700,473,30,39,0,0,1,0,32
39,0x7fa5f8,2400,4097,1200,2048,33,34,0,1,1,0,32
40,0x7fa604,3000,5026,1500,2513,2602,2602,0,4,65,8,16
41,0x7fa610,400,656,200,328,30,32,0,16,1,0,32
42,0x7fa61c,440,336,220,168,286,286,0,0,97,0,16
43,0x7fa628,100,66,50,33,2576,2576,0,0,113,17,12
44,0x7fa634,120,202,60,101,20,18,0,0,1,0,12
45,0x7fa640,280,489,140,244,28,29,0,0,1,0,12
46,0x7fa64c,160,158,80,79,34,34,0,0,1,0,12
47,0x7fa658,360,626,180,313,43,41,0,0,1,0,12
48,0x7fa664,580,868,290,434,38,37,0,0,1,0,12
49,0x7fa670,860,1095,430,547,2570,2570,0,0,65,8,12
50,0x7fa67c,1640,1291,820,645,5140,5140,0,15,49,15,12
51,0x7fa688,2600,2555,1300,1277,15420,15420,0,15,65,10,12
52,0x7fa694,3000,2576,1500,1288,20481,20481,240,8,65,12,8
53,0x7fa6a0,3000,2472,1500,1236,17921,17921,240,9,65,11,4
54,0x7fa6ac,360,449,180,224,34,30,0,0,1,0,32
55,0x7fa6b8,360,264,180,132,2590,2590,0,0,49,13,16
56,0x7fa6c4,360,512,180,256,2590,2590,0,0,33,0,32
57,0x7fa6d0,400,637,200,318,2600,2600,0,0,81,0,32
58,0x7fa6dc,2800,4382,1400,2191,3895,3895,0,0,65,0,16
59,0x7fa6e8,2800,1887,1400,943,3895,3895,0,0,81,0,32
60,0x7fa6f4,4200,3220,2100,1610,60,80,0,7,1,0,16
61,0x7fa700,1800,2941,900,1470,60,77,0,4,1,0,32
62,0x7fa70c,6,8,3,4,3,4,0,0,1,0,2
63,0x7fa718,16,23,8,11,5,6,0,0,1,0,12
64,0x7fa724,28,44,14,22,15,17,0,0,1,0,2
65,0x7fa730,198,320,99,160,30,32,0,0,1,0,2
66,0x7fa73c,2980,2824,1490,1412,20,21,224,0,1,3,32
67,0x7fa748,8,9,4,4,3,3,1,0,2,0,255
68,0x7fa754,14,15,7,7,5,6,1,0,2,0,255
69,0x7fa760,20,12,10,6,7,7,1,0,2,0,227
70,0x7fa76c,26,22,13,11,9,9,1,0,2,0,225
71,0x7fa778,48,64,24,32,13,14,1,0,2,0,161
72,0x7fa784,120,146,60,73,1297,1297,1,0,82,22,33
73,0x7fa790,240,177,120,88,21,26,1,0,2,0,33
74,0x7fa79c,480,517,240,258,25,27,1,0,2,0,33
75,0x7fa7a8,960,1027,480,513,2589,2589,1,0,82,24,33
76,0x7fa7b4,1000,1499,500,749,27,36,1,0,2,0,64
77,0x7fa7c0,1200,1166,600,583,33,38,1,0,2,0,32
78,0x7fa7cc,1800,2097,900,1048,5157,5157,1,0,82,25,32
79,0x7fa7d8,0,0,0,0,40,41,1,0,2,47,1
80,0x7fa7e4,60,69,30,34,270,270,1,0,82,18,16
81,0x7fa7f0,140,126,70,63,530,530,1,0,82,19,16
82,0x7fa7fc,280,274,140,137,790,790,1,0,82,20,16
83,0x7fa808,560,713,280,356,1050,1050,1,0,82,21,16
84,0x7fa814,1120,1841,560,920,1566,1566,1,0,82,23,16
85,0x7fa820,1800,1551,900,775,5666,5666,1,0,82,26,16
86,0x7fa82c,40,37,20,18,11,12,1,0,2,0,30
87,0x7fa838,128,186,64,93,15,15,1,0,2,38,30
88,0x7fa844,200,270,100,135,19,15,1,0,2,0,12
89,0x7fa850,360,545,180,272,23,21,1,0,2,0,12
90,0x7fa85c,720,711,360,355,26,30,1,0,2,0,8
91,0x7fa868,680,892,340,446,27,26,1,0,2,0,4
92,0x7fa874,1240,1176,620,588,31,32,1,0,2,0,4
93,0x7fa880,1700,1023,850,511,36,34,1,0,2,38,4
94,0x7fa88c,1260,986,680,493,39,35,1,0,2,0,8
95,0x7fa898,1600,1190,800,595,33,31,1,0,2,37,8
96,0x7fa8a4,3000,3144,1500,1572,20481,20481,241,8,82,28,24
97,0x7fa8b0,3000,2944,1500,1472,17921,17921,241,9,82,27,4
98,0x7fa8bc,1340,2056,670,1028,30,31,1,0,2,49,33
99,0x7fa8c8,200,181,100,90,2580,2580,1,0,114,0,255
100,0x7fa8d4,60,40,30,20,12,14,1,0,2,0,26
101,0x7fa8e0,2980,1958,1490,979,2561,2561,225,0,18,2,32
102,0x7fa8ec,1700,2832,850,1416,1315,1315,1,0,18,0,32
103,0x7fa8f8,2,1,1,0,2,2,2,0,2,0,163
104,0x7fa904,10,14,5,7,3,3,2,0,2,0,161
105,0x7fa910,36,25,18,12,5,6,2,0,2,0,161
106,0x7fa91c,90,107,45,53,7,9,2,0,2,0,33
107,0x7fa928,180,275,90,137,10,9,2,0,2,0,33
108,0x7fa934,360,526,180,263,13,14,2,0,2,0,33
109,0x7fa940,720,1024,360,512,16,15,2,0,2,0,32
110,0x7fa94c,1000,1540,500,770,19,24,2,0,2,0,32
111,0x7fa958,0,0,0,0,20,22,2,0,2,0,1
112,0x7fa964,20,33,10,16,4,5,2,0,2,0,229
113,0x7fa970,48,69,24,34,6,6,2,0,2,0,229
114,0x7fa97c,100,81,50,40,8,8,2,0,2,0,4
115,0x7fa988,200,242,100,121,10,12,2,0,2,0,4
116,0x7fa994,380,611,190,305,1292,1292,2,0,66,6,4
117,0x7fa9a0,760,595,380,297,2574,2574,2,0,66,8,4
118,0x7fa9ac,1100,1724,550,862,3856,3856,2,0,66,9,4
119,0x7fa9b8,6,5,3,2,1,1,2,0,2,0,90
120,0x7fa9c4,22,30,11,15,4,3,2,0,2,0,90
121,0x7fa9d0,66,87,33,43,7,9,2,0,2,0,26
122,0x7fa9dc,120,194,60,97,9,9,2,0,2,0,24
123,0x7fa9e8,240,285,120,142,11,13,2,0,2,0,16
124,0x7fa9f4,380,414,190,207,12,10,2,0,2,0,16
125,0x7faa00,780,1360,390,680,14,16,2,0,2,0,16
126,0x7faa0c,800,878,400,439,15,20,2,0,2,0,8
127,0x7faa18,900,673,450,336,19,21,2,0,2,0,64
128,0x7faa24,1140,1558,570,779,17,16,2,0,2,0,16
129,0x7faa30,1200,784,600,392,18,22,2,0,2,0,8
130,0x7faa3c,1200,1827,600,913,1,1,242,0,2,49,24
131,0x7faa48,1200,1321,600,660,1,1,242,0,2,49,4
132,0x7faa54,520,330,260,165,1293,1293,2,0,18,0,26
133,0x7faa60,1140,1733,570,866,785,785,2,0,82,0,1
134,0x7faa6c,2980,1983,1490,991,1281,1281,226,0,18,1,32
135,0x7faa78,2,2,1,1,1,1,3,0,2,0,26
136,0x7faa84,2,2,1,1,2,2,3,0,2,0,229
137,0x7faa90,16,27,8,13,3,3,3,0,2,0,26
138,0x7faa9c,26,24,13,12,5,6,3,0,2,0,161
139,0x7faaa8,136,140,68,70,9,8,3,0,2,0,33
140,0x7faab4,260,255,130,127,12,14,3,0,2,0,33
141,0x7faac0,540,816,270,408,15,17,3,0,2,0,32
142,0x7faacc,800,645,400,322,18,23,3,0,2,0,32
143,0x7faad8,0,0,0,0,20,25,3,0,2,0,1
144,0x7faae4,2,3,1,1,1,1,3,0,2,0,255
