index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,402,432,473,7,239,602,487,373
1,0x8d220,417,1028,1088,2306,5,4,117,118,506,832,825,3076,6,4,91,106
2,0x8d240,150,182,213,214,105,104,85,86,172,242,208,278,98,138,77,106
3,0x8d260,118,150,181,182,213,214,53,54,148,173,167,236,273,222,58,53
4,0x8d280,86,118,149,150,181,182,196,197,94,89,135,172,194,236,169,152
5,0x8d2a0,229,261,292,293,324,325,257,1028,292,275,290,265,364,308,279,1013
6,0x8d2c0,514,0,0,0,0,0,292,293,607,0,0,0,0,0,385,359
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,405,852,7269,3027,5,5,96,94
8,0x8d300,150,182,213,214,105,104,85,86,205,237,167,265,99,89,81,77
9,0x8d320,118,150,181,182,213,214,53,54,134,133,248,146,259,196,48,69
10,0x8d340,86,118,149,150,181,182,196,197,96,160,152,142,211,167,254,180
11,0x8d360,229,261,292,293,324,325,257,1028,231,270,386,306,255,380,230,1288
12,0x8d380,514,0,0,0,0,0,292,293,605,0,0,0,0,0,394,249
13,0x8d3a0,325,256,516,5712,513,416,449,256,257,281,472,4679,683,376,435,254
14,0x8d3c0,4686,5,4,21,22,53,150,181,4516,4,4,28,25,69,199,207
15,0x8d3e0,213,105,104,5,4,21,118,149,202,91,127,5,4,22,160,207
16,0x8d400,181,213,214,105,104,5,86,117,152,232,208,99,96,7,68,151
17,0x8d420,149,181,182,213,214,105,229,260,134,206,249,267,199,136,290,216
18,0x8d440,292,324,325,356,357,388,514,0,315,279,251,290,381,319,389,0
20,0x8d480,516,258,416,416,384,385,3668,1028,534,223,495,371,357,343,4138,836
21,0x8d4a0,142,144,173,174,175,176,239,240,154,118,201,168,182,149,183,181
22,0x8d4c0,142,144,173,174,175,176,239,240,142,193,190,137,215,159,255,219
23,0x8d4e0,142,144,173,174,175,176,239,240,113,130,157,209,157,184,322,229
24,0x8d500,302,304,333,334,335,336,399,400,385,233,303,284,429,254,348,444
25,0x8d520,256,8263,258,416,416,384,1028,3640,238,10693,312,389,488,514,1407,3351
26,0x8d540,141,143,144,173,174,175,238,239,126,138,145,166,225,190,311,332
27,0x8d560,141,143,144,173,174,175,238,239,112,138,115,183,235,196,223,298
28,0x8d580,141,143,144,173,174,175,238,239,172,124,177,203,142,184,235,213
29,0x8d5a0,301,303,304,333,334,335,398,399,413,380,411,465,396,460,463,407
30,0x8d5c0,3,516,9279,513,416,416,256,1028,3,421,12451,650,435,561,199,965
31,0x8d5e0,2306,4,21,22,53,54,181,182,2264,3,18,27,46,71,181,196
