index,type,level,hp,attack,defense,agility,wisdom,mdef,range,atk2,num_attacks,exp,silver
0,2,1,13,35,6,16,6,4,8,1,1,1,6
1,12,3,47,63,8,10,9,4,12,3,1,7,22
2,4,1,13,35,1,32,9,6,15,1,1,2,7
3,3,7,41,49,10,15,13,6,12,3,1,6,19
4,31,5,27,41,8,11,9,4,14,1,1,4,9
5,27,9,38,56,22,15,12,9,12,3,1,9,40
6,24,6,20,56,19,31,22,18,18,1,1,4,29
7,5,12,34,51,21,22,22,18,15,2,1,11,50
8,5,6,20,60,35,11,20,18,12,2,1,5,14
9,17,11,43,82,32,22,60,25,17,4,2,14,63
10,22,10,38,74,16,10,10,22,16,2,1,7,27
11,6,11,45,79,18,27,30,22,16,3,1,8,41
12,12,13,23,101,20,20,50,26,15,2,1,6,67
13,18,17,65,89,23,26,40,26,20,4,1,7,108
14,17,18,4,2,80,100,255,80,24,5,2,129,900
15,17,12,49,116,34,36,70,26,20,4,1,7,68
16,13,16,48,110,24,36,39,35,13,5,1,8,72
17,4,14,59,113,54,32,39,13,14,6,1,9,77
18,3,13,63,122,20,10,39,35,14,1,1,9,61
19,19,16,90,144,20,10,39,39,17,5,1,10,116
20,27,19,117,122,10,30,50,30,18,7,1,11,151
21,29,15,74,101,10,1,40,25,35,4,1,14,88
22,18,17,81,101,10,27,26,50,15,2,1,18,161
23,8,18,72,108,15,35,45,25,12,3,1,15,227
24,16,19,76,101,45,38,44,38,10,8,2,18,90
25,6,22,126,104,30,30,58,43,12,9,1,19,94
26,21,21,77,130,87,38,56,51,10,5,2,73,108
27,2,19,73,109,66,40,56,48,8,5,2,69,124
28,20,24,190,156,30,52,60,20,12,7,1,75,225
29,30,25,135,196,44,28,56,51,12,10,1,78,207
30,32,28,90,153,62,999,59,54,11,6,1,104,211
31,31,23,158,153,38,46,45,39,20,7,1,75,135
32,22,22,221,172,30,30,60,32,22,5,1,121,169
33,13,26,234,128,64,38,60,36,22,6,2,126,281
34,2,27,279,182,52,32,60,41,22,10,1,134,291
35,26,24,234,153,70,20,45,30,16,7,1,129,204
36,5,27,225,223,1,43,20,1,15,4,1,168,206
37,31,26,306,156,24,52,32,70,20,5,1,173,167
38,31,28,315,202,30,46,80,80,24,6,1,168,315
39,13,27,263,182,50,41,58,40,18,7,2,207,281
40,31,29,339,204,50,40,60,50,17,6,1,212,252
41,22,26,241,152,50,43,65,50,17,8,2,203,135
42,2,25,283,162,1,40,65,26,24,5,2,203,126
43,17,26,246,166,20,45,70,1,14,9,2,233,194
44,1,30,126,136,100,70,150,130,20,12,3,432,135
45,23,28,212,138,30,60,64,10,16,11,1,242,213
46,6,39,54,179,200,54,68,62,10,3,1,93,124
47,21,36,153,182,77,80,70,64,12,9,1,66,125
48,0,28,250,189,50,45,2,70,18,8,1,345,218
49,13,28,232,182,60,45,78,60,19,8,2,336,178
50,27,30,351,262,65,55,50,76,13,9,1,388,207
51,28,34,234,203,56,50,50,40,16,9,1,526,290
52,22,17,189,87,60,27,40,40,15,7,2,30,180
53,2,17,38,72,30,70,56,48,11,7,1,18,99
54,2,28,288,144,40,40,56,1,20,1,1,363,270
55,5,28,270,179,50,30,100,1,16,9,1,414,243
56,31,28,315,180,30,48,100,78,24,8,1,449,288
57,27,30,180,182,50,57,90,50,24,8,1,509,203
58,20,35,360,179,70,50,100,60,20,8,1,535,378
59,18,32,288,245,60,55,30,1,17,10,1,518,207
60,3,44,225,225,110,40,50,50,17,15,1,621,216
61,22,34,171,241,90,55,80,50,19,12,1,612,225
62,22,34,189,247,100,55,75,53,18,8,1,604,188
