name,type,level,hp,attack,defense,agility,wisdom,mdef,range,num_attacks,exp,silver
Enemy_0,2,1,909,169,57,16,6,4,8,1,50160,0
Enemy_1,12,3,34,49,8,10,9,4,12,1,3,13
Enemy_2,4,1,1,96,32,32,9,6,15,1,0,0
Enemy_3,3,7,45,45,11,15,13,6,12,1,8,13
Enemy_4,31,5,56,81,6,11,9,4,14,1,7,16
Enemy_5,27,9,39,70,30,15,12,9,12,1,17,62
Enemy_6,24,6,28,34,17,31,22,18,18,1,4,21
Enemy_7,5,12,52,140,25,22,22,18,15,1,9,46
Enemy_8,5,6,24,50,31,11,20,18,12,1,5,11
Enemy_9,17,11,52,71,22,22,60,25,17,2,7,41
Enemy_10,22,10,37,48,18,10,10,22,16,1,12,47
Enemy_11,6,11,43,77,17,27,30,22,16,1,14,24
Enemy_12,12,13,38,64,24,20,50,26,15,1,15,58
Enemy_13,18,17,54,104,27,26,40,26,20,1,11,73
Enemy_14,17,18,124,172,32,100,255,80,24,2,25,55
Enemy_15,17,12,53,152,58,36,70,26,20,1,7,57
Enemy_16,13,16,250,112,59,36,39,35,13,1,25,246
Enemy_17,4,14,20,107,21,32,39,13,14,1,8,78
Enemy_18,3,13,36,131,38,10,39,35,14,1,10,80
Enemy_19,19,16,86,87,10,10,39,39,17,1,15,129
Enemy_20,27,19,95,111,57,30,50,30,18,1,20,63
Enemy_21,29,15,96,175,34,1,40,25,35,1,26,58
Enemy_22,18,17,52,122,17,27,26,50,15,1,15,77
Enemy_23,8,18,89,146,12,35,45,25,12,1,12,138
Enemy_24,16,19,95,104,17,38,44,38,10,2,18,187
Enemy_25,6,22,176,197,27,30,58,43,12,1,172,235
Enemy_26,21,21,173,166,36,38,56,51,10,2,113,125
Enemy_27,2,19,78,91,82,40,56,48,8,2,91,100
Enemy_28,20,24,146,138,67,52,60,20,12,1,157,118
Enemy_29,30,25,186,119,76,28,56,51,12,1,110,226
Enemy_30,32,28,126,177,64,999,59,54,11,1,116,168
Enemy_31,31,23,100,186,33,46,45,39,20,1,153,119
Enemy_32,22,22,80,118,31,30,60,32,22,1,39,105
Enemy_33,13,26,344,184,24,38,60,36,22,2,192,182
Enemy_34,2,27,468,267,65,32,60,41,22,1,177,274
Enemy_35,26,24,214,155,39,20,45,30,16,1,204,201
Enemy_36,5,27,275,261,1,43,20,1,15,1,131,211
Enemy_37,31,26,297,199,22,52,32,70,20,1,147,177
Enemy_38,31,28,256,212,54,46,80,80,24,1,499,188
Enemy_39,13,27,239,149,39,41,58,40,18,2,200,313
Enemy_40,31,29,282,169,60,40,60,50,17,1,416,167
Enemy_41,22,26,201,172,28,43,65,50,17,2,105,234
Enemy_42,2,25,204,131,72,40,65,26,24,2,134,219
Enemy_43,17,26,261,199,1,45,70,1,14,2,211,185
Enemy_44,1,30,174,152,110,70,150,130,20,3,561,101
Enemy_45,23,28,223,154,55,60,64,10,16,1,380,288
Enemy_46,6,39,370,233,115,54,68,62,10,1,625,403
Enemy_47,21,36,315,189,32,80,70,64,12,1,639,141
Enemy_48,0,28,383,164,35,45,2,70,18,1,409,314
Enemy_49,13,28,323,193,27,45,78,60,19,2,242,332
Enemy_50,27,30,335,318,52,55,50,76,13,1,414,310
Enemy_51,28,34,252,226,91,50,50,40,16,1,472,249
Enemy_52,22,17,46,82,42,27,40,40,15,2,22,70
Enemy_53,2,17,82,82,18,70,56,48,11,1,7,99
Enemy_54,2,28,379,203,55,40,56,1,20,1,178,392
Enemy_55,5,28,344,201,39,30,100,1,16,1,310,385
Enemy_56,31,28,369,139,47,48,100,78,24,1,527,218
Enemy_57,27,30,197,116,29,57,90,50,24,1,461,194
Enemy_58,20,35,142,234,120,50,100,60,20,1,818,312
Enemy_59,18,32,241,230,40,55,30,1,17,1,529,187
Enemy_60,3,44,280,198,249,40,50,50,17,1,151,146
Enemy_61,22,34,182,201,89,55,80,50,19,1,112,159
Enemy_62,22,34,117,178,69,55,75,53,18,1,797,112
Enemy_63,14,39,399,221,61,30,160,10,19,2,759,276
Enemy_64,25,35,271,219,81,64,36,50,24,1,487,489
Enemy_65,31,37,127,235,70,64,50,10,19,1,78,149
Enemy_66,24,43,362,264,105,53,90,60,30,1,1240,213
Enemy_67,23,40,554,315,74,58,65,70,24,1,106,101
Enemy_68,24,41,43,161,227,60,150,60,30,2,115,110
Enemy_69,22,42,460,273,76,60,60,80,24,2,709,302
Enemy_70,31,44,363,208,69,60,86,70,24,1,1024,290
Enemy_71,24,40,352,201,89,66,100,70,30,1,121,125
Enemy_72,31,42,273,182,61,64,78,70,30,2,835,421
Enemy_73,24,43,525,300,136,66,60,70,30,1,738,340
Enemy_74,22,46,275,397,99,65,80,120,24,1,1473,223
