name,type,level,hp,attack,defense,agility,wisdom,mdef,range,num_attacks,exp,silver
Slime,1,1,12,7,2,3,2,1,1,1,2,5
Mutant Fly,2,2,18,10,3,6,4,1,1,1,2,6
Synapse Guard,3,3,22,15,5,9,6,2,1,1,7,8
Albino Baboon,4,4,42,72,11,12,8,4,1,1,8,22
Killer Fly,5,3,30,12,5,9,6,2,1,1,4,7
Killer Wasp,6,4,25,19,8,12,8,3,1,1,5,14
Mantle Rapper,7,5,47,28,9,15,10,4,1,1,6,11
Mutant Ant,8,5,31,29,10,15,10,5,1,1,7,16
Ammonia,9,8,45,79,41,24,16,16,1,1,18,56
Antorion,10,10,45,123,66,30,20,25,1,1,10,57
Barrel Snake,11,6,87,39,12,18,12,6,1,1,13,16
Goblin,12,2,21,12,5,6,4,2,1,1,4,8
Hobgoblin,13,5,73,34,14,15,10,6,1,1,11,21
Sewer Rat,14,7,40,50,20,21,14,7,1,1,12,31
Saline Slimer (base),15,12,63,59,23,36,24,10,1,1,60,68
