index,name,buy,sell,group,marker,idx_field,unknown_bytes
0,(pad),0,0,0,00000000,0,00000000000000
1,Nothing,0,0,0,00000000,0,00000000000000
2,Dagger,100,50,0,00990000,1536,0001000000ff07
3,Short Sword,200,100,0,00990000,2816,00010000007105
4,Long Sword,360,180,0,00990000,4096,00010000011105
5,Broad Sword,600,300,0,00990000,5376,00010000011105
6,Saber,1000,500,0,00990000,6912,00010000010105
7,Ice Blade,4000,2000,0,00990000,11264,00012c00010105
8,Silver Sword,1800,900,0,00990000,8448,00010000011105
9,Samurai Blade,2800,1400,0,00990000,9728,00010000011105
10,Flame Sword,6000,3000,0,00990000,12544,00012b00010105
11,Bastard Sword,6400,3200,0,00990000,12800,00010000011001
12,Great Sword,9000,4500,0,00990000,14080,00010000011105
13,Wind Sword,14000,7000,0,00990000,15360,05312d00011001
14,Crystal Sword,15000,7500,0,00990000,15616,00010000010105
15,Dark Sword,20000,10000,0,00990000,16640,05210000011001
16,Master Sword,21000,10500,0,00990000,17408,00010700010105
17,Insane Sword,25000,12500,0,00990000,17920,00010e00051000
18,Althena's Sword,0,0,0,13990000,19200,01611d00050084
19,Mace,1600,800,0,00990000,8704,00010000020400
20,Flail,2600,1300,0,00990000,9984,00010000020400
21,Ice Mace,4400,2200,0,00910057,11329,00012c00020400
22,Water Mace,7600,3800,0,00910057,12866,00010000020400
23,Judgment Mace,12400,6200,0,00990000,14336,00010200020400
24,Holy Mace,22000,11000,0,00990000,17408,00011d00050400
25,Dark Mace,16800,8400,0,00990000,15872,00010c00020400
26,Item_26,60,30,0,00990000,1024,0001000004ff07
27,Item_27,180,90,0,00990000,2048,0001000004ff07
28,Item_28,320,160,0,00990000,2560,00010000036202
29,Item_29,640,320,0,00990000,5120,00010000036202
30,Item_30,4600,2300,0,00990000,12800,00010000030202
31,Item_31,8400,4200,0,00990000,14336,00010000030202
32,Item_32,8000,4000,0,00990000,15360,0a210e00030002
33,Item_33,16000,8000,0,00990000,16896,00010900030200
34,Item_34,23000,11500,0,00990000,18432,00010600050200
35,Item_35,1000,500,0,00990000,4096,0a71000002aa00
36,Item_36,0,0,0,00910057,5183,00012c00028a00
37,Item_37,1400,700,0,00910057,7230,00012b00028a00
38,Item_38,1600,800,0,00910058,8765,00010900022000
39,Item_39,3600,1800,0,00910057,11073,00012c00028a00
40,Item_40,2400,1200,0,00910057,9792,00012b00028a00
41,Item_41,8600,4300,0,00990000,12288,0a410000028a00
42,Item_42,16400,8200,0,00990000,13824,14312d00028800
43,Item_43,26000,13000,0,00990000,15360,3c413000050800
44,Item_44,0,0,0,00000000,0,00000000000000
45,Item_45,80,40,1,00990000,768,0002000000ff07
46,Item_46,140,70,1,00990000,1280,0002000000ff07
47,Item_47,200,100,1,00990000,1792,00020000007107
48,Item_48,260,130,1,00990000,2304,00020000005107
49,Item_49,480,240,1,00990000,3328,00020000005105
50,Item_50,1200,600,1,00990000,4352,05520000001105
51,Item_51,2400,1200,1,00990000,5376,00020000001105
52,Item_52,4800,2400,1,00990000,6400,00020000001105
53,Item_53,9600,4800,1,00990000,7424,0a520000001105
54,Item_54,10000,5000,1,00990000,6912,00020000000002
55,Item_55,12000,6000,1,00990000,8448,00020000001001
56,Item_56,18000,9000,1,00990000,9472,14520000001000
57,Item_57,0,0,1,12990000,10240,00022100000184
58,Item_58,600,300,1,00990000,3584,01520000000400
59,Item_59,1400,700,1,00990000,4608,02520000000400
60,Item_60,2800,1400,1,00990000,5632,03520000000400
61,Item_61,5600,2800,1,00990000,6656,04522100000400
62,Item_62,11200,5600,1,00990000,7680,06522500000400
63,Item_63,18000,9000,1,00990000,8704,16522600000400
64,Item_64,400,200,1,00990000,2816,0002000000ae00
65,Item_65,1280,640,1,00990000,3840,0002310000ae00
66,Item_66,2000,1000,1,00990000,4864,00020000008a00
67,Item_67,3600,1800,1,00990000,5888,00020000008a00
68,Item_68,7200,3600,1,00990000,6656,00020000008800
69,Item_69,6800,3400,1,00990000,6912,00020000008200
70,Item_70,12400,6200,1,00990000,7936,00020000008200
71,Item_71,17000,8500,1,00990000,9216,00023100000200
