index,orig_buy,orig_sell,new_buy,new_sell
0,0,0,0,0
1,0,0,0,0
2,100,50,97,48
3,200,100,155,77
4,360,180,485,242
5,600,300,410,205
6,1000,500,1216,608
7,4000,2000,4082,2041
8,1800,900,1200,600
9,2800,1400,3314,1657
10,6000,3000,3859,1929
11,6400,3200,7032,3516
12,9000,4500,6123,3061
13,14000,7000,9860,4930
14,15000,7500,16323,8161
15,20000,10000,31018,15509
16,21000,10500,15590,7795
17,25000,12500,21418,10709
18,0,0,0,0
19,1600,800,2114,1057
20,2600,1300,4394,2197
21,4400,2200,5560,2780
22,7600,3800,8027,4013
23,12400,6200,21361,10680
24,22000,11000,14379,7189
25,16800,8400,26666,13333
26,60,30,56,28
27,180,90,138,69
28,320,160,235,117
29,640,320,611,305
30,4600,2300,7077,3538
31,8400,4200,6786,3393
32,8000,4000,10151,5075
33,16000,8000,21356,10678
34,23000,11500,23650,11825
35,1000,500,1230,615
36,0,0,0,0
37,1400,700,941,470
38,1600,800,1070,535
39,3600,1800,3013,1506
40,2400,1200,3318,1659
41,8600,4300,9389,4694
42,16400,8200,15765,7882
43,26000,13000,33108,16554
44,0,0,0,0
45,80,40,90,45
46,140,70,132,66
47,200,100,303,151
48,260,130,365,182
49,480,240,423,211
50,1200,600,1513,756
51,2400,1200,2890,1445
52,4800,2400,7711,3855
53,9600,4800,13813,6906
54,10000,5000,9311,4655
55,12000,6000,20726,10363
56,18000,9000,13244,6622
57,0,0,0,0
58,600,300,649,324
59,1400,700,2059,1029
60,2800,1400,2169,1084
61,5600,2800,6509,3254
62,11200,5600,7225,3612
63,18000,9000,24632,12316
64,400,200,592,296
65,1280,640,1611,805
66,2000,1000,3214,1607
67,3600,1800,3459,1729
68,7200,3600,10077,5038
69,6800,3400,8728,4364
70,12400,6200,15709,7854
71,17000,8500,19119,9559
